No,Name,State,Code,Lat,Lon
211,Batu Pahat Community College,Johor,,,
212,Bayan Baru Community College,Penang,,,
213,Beaufort Community College,Sabah,,,
214,Bentong Community College,Pahang,,,
215,Bera Community College,Pahang,,,
216,Besut Community College,Terengganu,,,
217,Betong Community College,Sarawak,,,
218,Bukit Beruang Community College,Malacca,,,
219,Chenderoh Community College,Perak,,,
220,Gerik Community College,Perak,,,
221,Hulu Langat Community College,Selangor,10,3.010021279,101.8031479
222,Hulu Selangor Community College,Selangor,10,3.449967238,101.6644253
223,Jasin Community College,Malacca,,,
224,Jelebu Community College,Negeri Sembilan,,,
225,Jeli Community College,Kelantan,,,
226,Jempol Community College,Negeri Sembilan,,,
227,Jerai Community College,Kedah,,,
228,Jerantut Community College,Pahang,,,
229,Kolej Komuniti Kelana Jaya,Selangor,10,3.077123019,101.6238859
230,Kemaman Community College,Terengganu,,,
231,Kepala Batas Community College,Penang,,,
232,Klang Community College,Selangor,10,3.027109261,101.4428042
233,Kluang Community College,Johor,,,
234,Kok Lanas Community College,Kelantan,,,
235,Kolej Komuniti Kota Marudu,Sabah,,,
236,Kota Melaka Community College,Malacca,,,
237,Kota Tinggi Community College,Johor,,,
238,Kuala Kangsar Community College,Perak,,,
239,Kuala Langat Community College,Selangor,10,2.824850377,101.4491168
240,Kolej Komuniti Kuala Pilah,Negeri Sembilan,,,
241,Kuala Terengganu Community College,Terengganu,,,
242,Kuantan Community College,Pahang,,,
243,Kuching Community College,Sarawak,,,
244,Kulim Community College,Kedah,,,
245,Lahad Datu Community College,Sabah,,,
246,Ledang Community College,Johor,,,
247,Lipis Community College,Pahang,,,
248,Manjung Community College,Perak,,,
249,Mas Gading Community College,Sarawak,,,
250,Masjid Tanah Community College,Malacca,,,
251,Miri Community College,Sarawak,,,
252,Muar Community College,Johor,,,
253,Nibong Tebal Community College,Penang,,,
254,Padang Terap Community College,Kedah,,,
255,Pagoh Community College,Johor,,,
256,Pasir Gudang Community College,Johor,,,
257,Pasir Mas Community College,Kelantan,,,
258,Pasir Salak Community College,Perak,,,
259,Paya Besar Community College,Pahang,,,
260,Pekan Community College,Pahang,,,
261,Penampang Community College,Sabah,,,
262,Raub Community College,Pahang,,,
263,Rembau Community College,Negeri Sembilan,,,
264,Rompin Community College,Pahang,,,
265,RTC Gopeng Community College,Perak,,,
266,Sabak Bernam Community College,Selangor,10,3.770421921,100.9842848
267,Sandakan Community College,Sabah,,,
268,Santubong Community College,Sarawak,,,
269,Sarikei Community College,Sarawak,,,
270,Seberang Jaya Community College,Penang,,,
271,Segamat Community College,Johor,,,
272,Segamat 2 Community College,Johor,,,
273,Selandar Community College,Malacca,,,
274,Selayang Community College,Selangor,10,3.265085672,101.6528603
275,Semporna Community College,Sabah,,,
276,Shah Alam Community College,Selangor,10,3.08474435,101.556884
277,Kolej Komuniti Sik,Kedah,,,
278,Sungai Petani Community College,Kedah,,,
279,Sungai Siput Community College,Perak,,,
280,Taiping College Community,Perak,,,
281,Tambunan Community College,Sabah,,,
282,Tampin Community College,Negeri Sembilan,,,
283,Tangga Batu Community College,Malacca,,,
284,Tanjong Karang Community College,Selangor,10,3.42614502,101.1771896
285,Tanjung Piai Community College,Johor,,,
286,Tapah Community College,Perak,,,
287,Tasek Gelugor Community College,Penang,,,
288,Tawau Community College,Sabah,,,
289,Teluk Intan Community College,Perak,,,
290,Temerloh Community College,Pahang,,,
291,"MARA Professional College Ayer Molek, Melaka (Previously known as : Kolej Profesional MARA (Melaka))",Malacca,,,
292,Kolej Profesional MARA Bandar Melaka,Malacca,,,
293,Kolej Profesional MARA Bandar Penawar,Johor,,,
294,Kolej Profesional MARA Beranang,Selangor,10,2.903874559,101.8669666
295,Kolej Profesional MARA Indera Mahkota,Pahang,,,
296,Kolej Profesional MARA Seri Iskandar Perak,Perak,,,
297,Kolej Vokasional (ERT) Azizah,Johor,,,
298,Kolej Vokasional (ERT) Setapak,Wilayah Persekutuan Kuala Lumpur,14,3.2032602,101.7266451
299,Kolej Vokasional (Pertanian) Chenor,Pahang,,,
300,Kolej Vokasional (Pertanian) Teluk Intan,Perak,,,
301,Kolej Vokasional Alor Setar,Kedah,,,
302,Kolej Vokasional Ampangan,Negeri Sembilan,,,
303,Kolej Vokasional Arau,Perlis,,,
304,Kolej Vokasional Bachok,Kelantan,,,
305,Balik Pulau Vocational College,Penang,,,
306,Kolej Vokasional Batu Lanchang,Penang,,,
307,Kolej Vokasional Batu Pahat,Johor,,,
308,Kolej Vokasional Beaufort,Sabah,,,
309,Kolej Vokasional Besut,Terengganu,,,
310,Kolej Vokasional Betong,Sarawak,,,
311,Kolej Vokasional Bintulu,Sarawak,,,
312,Kolej Vokasional Butterworth,Penang,,,
313,Kolej Vokasional Dato' Lela Maharaja,Negeri Sembilan,,,
314,Kolej Vokasional Dato’ Undang Hj Muhamad Sharip,Negeri Sembilan,,,
315,Kolej Vokasional Datuk Seri Abu Zahar Isnin,Malacca,,,
316,Kolej Vokasional Datuk Seri Mohd Zin,Malacca,,,
317,Kolej Vokasional Dungun,Terengganu,,,
318,Kolej Vokasional Gerik,Perak,,,
319,Kolej Vokasional Ipoh,Perak,,,
320,Kolej Vokasional Kangar,Perlis,,,
321,Kolej Vokasional Kemaman,Terengganu,,,
322,Kolej Vokasional Keningau,Sabah,,,
323,Kolej Vokasional Kluang,Johor,,,
324,Kolej Vokasional Kuala Kangsar,Perak,,,
325,Kolej Vokasional Kuala Klawang,Negeri Sembilan,,,
326,Kolej Vokasional Kuala Selangor,Selangor,10,3.3833889,101.3981602
327,Kuching Vocational College,Sarawak,,,
328,Kolej Vokasional Kudat,Sabah,,,
329,Kolej Vokasional Kulim,Kedah,,,
330,Kolej Vokasional Labuan,Sabah,,,
331,Vocational College of Lahad Datu,Sabah,,,
332,Kolej Vokasional Langkawi,Kedah,,,
333,Kolej Vokasional Lebuh Cator,Perak,,,
334,Likas Vocational College,Sabah,,,
335,Kolej Vokasional Matang,Sarawak,,,
336,Kolej Vokasional Melaka Tengah,Malacca,,,
337,Kolej Vokasional Miri,Sarawak,,,
338,Kolej Vokasional Muadzam Shah,Pahang,,,
339,Kolej Vokasional Muar,Johor,,,
340,Kolej Vokasional Nibong Tebal,Penang,,,
341,Kolej Vokasional Pengkalan Chepa,Kelantan,,,
342,Kolej Vokasional Port Dickson,Negeri Sembilan,,,
343,Kolej Vokasional Puteri Temerloh,Pahang,,,
344,Kolej Vokasional Seberang Perai,Penang,,,
345,Kolej Vokasional Segamat,Johor,,,
346,Kolej Vokasional Sepang,Selangor,10,2.901031845,101.727008
347,Kolej Vokasional Seri Iskandar,Perak,,,
348,Kolej Vokasional Shah Alam,Selangor,10,3.047449371,101.5538835
349,Kolej Vokasional Sibu,Sarawak,,,
350,Kolej Vokasional Slim River,Perak,,,
351,Kolej Vokasional Sultan Abdul Samad,Selangor,10,2.820275646,101.5272047
352,Kolej Vokasional Sungai Buloh,Selangor,10,3.20606783,101.5442031
353,Kolej Vokasional Sungai Petani 1,Kedah,,,
354,Kolej Vokasional Sungai Petani 2,Kedah,,,
355,Kolej Vokasional Taiping,Perak,,,
356,Kolej Vokasional Tanah Merah,Kelantan,,,
357,Kolej Vokasional Tanjung Puteri,Johor,,,
